indice product_name packaging additives_fr nutrition-score-fr_100g
272 Goldfish-baked-snack-crackers-Cheddar # E375-Acidenicotinique,E101-Riboflavine,E160b-Rocou,E341i #
273 Goldfish-Flavor-Blasted-Xtra-Cheddar Paperbag E375-Acidenicotinique,E101-Riboflavine,E160b-Rocou,E341i,E330-Acidecitrique,E270-Acidelactique 13
274 Goldfish # E375-Acidenicotinique,E101-Riboflavine,E341i 11
275 Pizza-Goldfish # # #
276 Pirouette # # #
277 Goldfish-baked-snack-crackers-Cheddar # E375-Acidenicotinique,E101-Riboflavine,E160b-Rocou,E341i 13
278 Goldfish packaging # #
279 Goldfish-baked-snack-crackers-Cheddar box E375-Acidenicotinique,E101-Riboflavine,E160b-Rocou,E341i 13
280 Chocolate-chunk-cookies # E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E500-Carbonatesdesodium,E336-Tartratesdepotassium,E334-AcideL-tartrique,E503-Carbonatesd'ammonium 21
281 Chocolate-Chunk-Dark-Double-Chocolate-Crispy-Cookies papier E322-Lécithines,E375-Acidenicotinique,E101-Riboflavine,E500-Carbonatesdesodium,E336-Tartratesdepotassium,E150d-Caramelausulfited'ammonium,E334-AcideL-tartrique,E503-Carbonatesd'ammonium 21
282 Chocolate-chunk-classic-dark-chocolate-crispy-Cookies # # #
283 Chocolate-Chunk-Milk-Chocolate-Macadamia-Crispy-Cookies papier E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E500-Carbonatesdesodium,E336-Tartratesdepotassium,E503-Carbonatesd'ammonium 21
284 Chocolate-Chunk-White-Chocolate-Macadamia-Crispy-Cookies papier E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E500-Carbonatesdesodium,E336-Tartratesdepotassium,E503-Carbonatesd'ammonium 20
285 Soft-Baked-Chocolate-Chunk-Dark-Chocolat-Brownie Sachet,Papier E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E500-Carbonatesdesodium,E336-Tartratesdepotassium,E440-Pectines,E334-AcideL-tartrique,E503-Carbonatesd'ammonium 21
286 Oatmeal-Raisin Sachet # 16
287 Lexington-Milk-Chocolate-Toffee-Almond Paper # 22
288 Maui-Milk-Chocolate-Coconut-Almond Paper # 20
289 Soft-Baker-chocolate-chunk # # #
290 Goldfish-Cheddar Sachet,plastique E375-Acidenicotinique,E101-Riboflavine,E160c-Extraitdepaprika,E160b-Rocou,E270-Acidelactique,E330-Acidecitrique,E327-Lactatedecalcium,E339-Orthophosphatesdesodium,E503-Carbonatesd'ammonium,E500-Carbonatesdesodium,E341-Phosphatedecalciumd'hydrogène 13
291 Almonds # # #
292 Almonds-Amandes-grillées-salées sachet,plastique # 14
293 Amandes-grillées-salées # # #
294 Honey-roasted-sliced-almonds # # #
295 Pistachios-Salées Sachet,plastique # 18
296 Pistachios-(grillées-salées) # # 18
297 Pistachios Sachetplastique # #
298 Pistaches-grillées-sans-sel-Wonderful sachetplastique,conditionnésousatmosphèreprotectrice # 3
299 Salt-and-pepper-pistachios # # #
300 Pistachios-salt-&-pepper plastique # 23
